id,keyo,image hi-res,image 2 retina,direction
127,22,0108_2PV1_Roasted-Pepper-Pasta_97881_WEB_high_feature,0108_2PV1_Roasted-Pepper-Pasta_97881_WEB_retina_feature,"4. While the pasta continues to cook, in a medium pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the capers and chopped garlic and peppers; season with salt and pepper. Cook, stirring frequently, 2 to 3 minutes, or until lightly browned. Add the tomato paste and as much of the chile paste as you’d like, depending on how spicy you’d like the dish to be. Cook, stirring constantly, 1 to 2 minutes, or until dark red and fragrant. Turn off the heat; add the heavy cream (shaking the bottle just before opening) and 1/4 cup of water. Stir to combine; season with salt and pepper to taste."
128,22,0108_2PV1_Roasted-Pepper-Pasta_97889_WEB_high_feature,0108_2PV1_Roasted-Pepper-Pasta_97889_WEB_retina_feature,"5. Finish the pasta & serve your dish: To the pan of sauce, add the cooked pasta, butter, and half the reserved pasta cooking water. Cook on medium-high, stirring vigorously, 30 seconds to 1 minute, or until the pasta is thoroughly coated. (If the sauce seems dry, gradually add the remaining pasta cooking water to achieve your desired consistency.) Turn off the heat and season with salt and pepper to taste. Serve the finished pasta with the roasted broccoli and remaining lemon wedges on the side. Garnish the pasta with the almonds and half the cheese. Garnish the broccoli with the remaining cheese. Enjoy!"
129,23,1127_2PV3_Vegetable-Curry_18480_WEB_high_feature,1127_2PV3_Vegetable-Curry_18480_WEB_retina_feature,"1. Place an oven rack in the center of the oven, then preheat to 450°F. Wash and dry the fresh produce. Using a sharp, sturdy knife, carefully halve the squash lengthwise; using a spoon, scoop out and discard the pulp and seeds. Place in a baking dish, cut side up. Drizzle with olive oil and season with salt and pepper; arrange cut side down. Fill the dish with 1/4 inch of water. Roast 32 to 35 minutes, or until the cut side of the squash is tender when pierced with a fork. Remove from the oven."
130,23,1127_2PV3_Broccoli-Curry_94348_WEB_high_feature,1127_2PV3_Broccoli-Curry_94348_WEB_retina_feature,"2. While the squash roasts, in a small saucepan, combine the rice, lime leaf, a big pinch of salt, and 1 cup of water. Heat to boiling on high. Once boiling, cover and reduce the heat to low. Cook 12 to 14 minutes, or until the water has been absorbed and the rice is tender. Turn off the heat. Carefully remove and discard the lime leaf. Fluff the cooked rice with a fork. Cover and set aside in a warm place."
131,23,1127_2PV3_Vegetable-Curry_18452_WEB_high_feature,1127_2PV3_Vegetable-Curry_18452_WEB_retina_feature,"3. While the rice cooks, peel and thinly slice the onion. Peel and finely chop the ginger. Quarter the lime. Cut off and discard the root end of the bok choy; thinly slice crosswise. Pick the mint leaves off the stems; discard the stems."
132,23,1127_2PV3_Broccoli-Curry_94328_WEB_high_feature,1127_2PV3_Broccoli-Curry_94328_WEB_retina_feature,"4. While the rice continues to cook, in a large pan (nonstick, if you have one), heat 2 teaspoons of olive oil on medium-high until hot. Add the sliced onion; season with salt and pepper. Cook, stirring occasionally, 3 to 4 minutes, or until slightly softened. Add the chopped ginger; season with salt and pepper. Cook, stirring frequently, 1 to 2 minutes, or until lightly browned and fragrant."
133,23,1127_2PV3_Broccoli-Curry_94335_WEB_high_feature,1127_2PV3_Broccoli-Curry_94335_WEB_retina_feature,"5. To the pan, add the coconut milk (shaking the can just before opening), sugar, and as much of the curry paste as you’d like, depending on how spicy you’d like the dish to be; season with salt and pepper. Cook, stirring occasionally, 3 to 4 minutes, or until slightly thickened. Turn off the heat and season with salt and pepper to taste."
134,23,1127_2PV3_Vegetable-Curry_18484_WEB_high_feature,1127_2PV3_Vegetable-Curry_18484_WEB_retina_feature,"6. When cool enough to handle, using a fork, scrape the flesh of the roasted squash into a bowl; separate any clumps. (The result should resemble cooked spaghetti.) Discard the skins. Add the squash and sliced bok choy to the pan of curry. Cook on medium-high, stirring frequently, 2 to 3 minutes, or until thoroughly combined. Turn off the heat. Stir in the juice of 2 lime wedges; season with salt and pepper to taste. Top the cooked rice with the finished curry. Garnish with the mung beans and mint leaves (tearing just before adding). Serve with the remaining lime wedges on the side. Enjoy!"
135,24,1211_2PRE08_Turkey-Farro_96241_WEB_high_feature,1211_2PRE08_Turkey-Farro_96241_WEB_retina_feature,"1. Remove the honey from the refrigerator to bring to room temperature. Place an oven rack in the center of the oven; preheat to 450°F. Heat a medium pot of salted water to boiling on high. Line a sheet pan with foil. Remove and discard the netting from the turkey; season with salt and pepper on both sides. In a large pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the seasoned turkey, skin side down. Cook 4 to 6 minutes on the first side, or until lightly browned. Flip and cook 3 to 5 minutes, or until lightly browned. Leaving any browned bits (or fond) in the pan on the stove, transfer to the sheet pan, skin side up. Roast 15 to 17 minutes, or until cooked through. (An instant-read thermometer should register 165ºF.) Transfer to a cutting board and let rest for at least 5 minutes."
136,24,1211_2PRE08_Turkey-Farro_96205_WEB_high_feature,1211_2PRE08_Turkey-Farro_96205_WEB_retina_feature,"2. While the turkey roasts, add the farro to the pot of boiling water and cook, uncovered, 17 to 19 minutes, or until tender. Drain thoroughly and return to the pot. Set aside in a warm place."
137,24,1211_2PRE08_Turkey_98039_WEB_high_feature,1211_2PRE08_Turkey_98039_WEB_retina_feature,"3. While the farro cooks, wash and dry the fresh produce. Peel and finely chop the shallot. Cut off and discard the root end of the endive; thinly slice crosswise. Quarter and deseed the lemon. Core and small dice the apple. Cut the chives into 1/2-inch pieces."
138,24,1211_2PRE08_Turkey-Farro_96220_WEB_high_feature,1211_2PRE08_Turkey-Farro_96220_WEB_retina_feature,"4. While the farro continues to cook, add 2 teaspoons of olive oil to the pan of reserved fond; heat on medium-high until hot. Add half the chopped shallot; season with salt and pepper. Cook, stirring constantly, 30 seconds to 1 minute, or until softened. Add the sliced endive; season with salt and pepper. Cook, stirring frequently, 1 to 2 minutes, or until softened. Add half the honey (kneading the packet before opening) and the juice of 2 lemon wedges. Cook, stirring constantly, 30 seconds to 1 minute, or until thoroughly combined. Transfer to a bowl and season with salt and pepper to taste. Rinse and wipe out the pan."
139,24,1211_2PRE08_Turkey-Farro_96223_WEB_high_feature,1211_2PRE08_Turkey-Farro_96223_WEB_retina_feature,"5. While the farro continues to cook, in the same pan, heat the butter on medium-high until melted. Cook, stirring frequently and swirling the pan, 1 to 2 minutes, or until browned and nuttily fragrant. Add the diced apple and remaining chopped shallot; season with salt and pepper. Cook, stirring frequently, 1 to 2 minutes, or until slightly softened. Add the juice of the remaining lemon wedges and the remaining honey. Cook, stirring constantly, 30 seconds to 1 minute, or until thoroughly combined. Turn off the heat and season with salt and pepper to taste."
140,24,1211_2PRE08_Turkey-Farro_96234_WEB_high_feature,1211_2PRE08_Turkey-Farro_96234_WEB_retina_feature,"6. Add the cooked endive, mustard, half the sliced chives, and a drizzle of olive oil to the pot of cooked farro. Stir to combine; season with salt and pepper to taste. Thinly slice the rested turkey crosswise. Serve the sliced turkey with the farro salad. Top the turkey with the compote. Garnish with the remaining sliced chives and a drizzle of olive oil. Enjoy!"
141,25,1106_2PF_Salmon_90184_WEB_high_feature,1106_2PF_Salmon_90184_WEB_retina_feature,"1. Remove the honey from the refrigerator to bring to room temperature. Wash, dry, and medium dice the potatoes. In a small pot, combine the potatoes, half the saffron, and a big pinch of salt. Add enough water to cover the potatoes by ½ inch. Heat to boiling on high. Once boiling, cook 10 to 12 minutes, or until the potatoes are tender when pierced with a fork. Drain thoroughly and return to the pot. Set aside in a warm place."
142,25,1106_2PF_Salmon-Honey-Carrots_94815_WEB_high_feature,1106_2PF_Salmon-Honey-Carrots_94815_WEB_retina_feature,"2. While the potatoes cook, wash and dry the remaining fresh produce. Peel the carrots; cut into ½-inch-thick pieces on an angle. Peel and roughly chop the garlic. Pick the mint leaves off the stems; discard the stems. Using a peeler, remove the rind of the lemon, avoiding the pith; mince to get 2 teaspoons of zest (or use a zester). Quarter and deseed the lemon. In a medium bowl, combine the remaining saffron and the juice of 1 lemon wedge."
143,25,1106_2PF_Salmon_90204_WEB_high_feature,1106_2PF_Salmon_90204_WEB_retina_feature,"3. In a medium pan (nonstick, if you have one), heat 2 teaspoons of olive oil on medium-high until hot. Add the carrots and garlic; season with salt and pepper. Cook, stirring occasionally, 2 to 3 minutes, or until slightly softened. Add the cumin and honey (kneading the packet before opening). Cook, stirring constantly, 30 seconds to 1 minute, or until fragrant. Add ¾ cup of water. Cook, stirring occasionally, 8 to 10 minutes, or until the carrots are softened and glazed. Transfer to a bowl. Season with salt and pepper to taste."
144,25,1106_2PF_Salmon_90194_WEB_high_feature,1106_2PF_Salmon_90194_WEB_retina_feature,"4. While the carrots cook, to the bowl of saffron-lemon juice mixture, add the yogurt, lemon zest, a drizzle of olive oil, and up to half the Aleppo pepper. Stir to combine; season with salt and pepper to taste."
145,25,1106_2PF_Salmon_90232_WEB_high_feature,1106_2PF_Salmon_90232_WEB_retina_feature,"5. While the carrots continue to cook, pat the salmon fillets dry with paper towels; season with salt and pepper on both sides. Rinse and wipe out the pan used to glaze the carrots. In the same pan, heat 1 tablespoon of olive oil on medium-high until hot. Add the seasoned fillets, skinless side down. Cook 3 to 4 minutes on the first side, or until lightly browned. Flip and cook 2 to 3 minutes, or until lightly browned and cooked to your desired degree of doneness. Turn off the heat."
146,25,1106_2PF_Salmon-Honey-Carrots_94819_WEB_high_feature,1106_2PF_Salmon-Honey-Carrots_94819_WEB_retina_feature,"6. While the salmon cooks, add the glazed carrots, the juice of the remaining lemon wedges, half the mint (tearing the leaves just before adding), and as much of the remaining Aleppo pepper as you’d like to the pot of cooked potatoes. Drizzle with olive oil; stir to combine. Season with salt and pepper to taste. Divide between 2 dishes. Top each with a cooked salmon fillet and a spoonful of the yogurt sauce. Garnish with the remaining mint (tearing the leaves just before adding). Serve with the remaining yogurt sauce on the side. Enjoy!"
147,26,0108_2PP_Chicken-Mashed-Potatoes_98479_WEB_high_feature,0108_2PP_Chicken-Mashed-Potatoes_98479_WEB_retina_feature,"1. Place an oven rack in the center of the oven, then preheat to 450°F. Heat a medium pot of salted water to boiling on high. Wash and dry the fresh produce. Peel the carrots; quarter lengthwise, then halve crosswise. Large dice the potatoes."
148,26,0108_2PP_Chicken-Mashed-Potatoes_98533_WEB_high_feature,0108_2PP_Chicken-Mashed-Potatoes_98533_WEB_retina_feature,"2. Place the sliced carrots on a sheet pan. Drizzle with olive oil and season with salt and pepper; toss to coat. Arrange in an even layer. Roast 15 to 17 minutes, or until lightly browned and tender when pierced with a fork. Carefully transfer to a large bowl. Add half the maple syrup; stir to coat. Season with salt and pepper to taste. Loosely cover with aluminum foil to keep warm."
149,26,0108_2PP_Chicken-Mashed-Potatoes_98516_WEB_high_feature,0108_2PP_Chicken-Mashed-Potatoes_98516_WEB_retina_feature,"3. While the carrots roast, add the diced potatoes to the pot of boiling water; cook 14 to 16 minutes, or until tender when pierced with a fork. Turn off the heat. Drain thoroughly and return to the pot. Add the crème fraîche and 1 tablespoon of olive oil. Using a fork, mash to your desired consistency. Season with salt and pepper to taste. Cover to keep warm."
150,26,0108_2PP_Chicken-Mashed-Potatoes_98538_WEB_high_feature,0108_2PP_Chicken-Mashed-Potatoes_98538_WEB_retina_feature,"4. While the potatoes cook, pat the chicken dry with paper towels; season with salt and pepper on both sides. In a medium pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the seasoned chicken and cook 5 to 7 minutes per side, or until browned and cooked through. Leaving any browned bits (or fond) in the pan, transfer to a cutting board."
151,26,0108_2PP_Chicken-Mashed-Potatoes_98552_WEB_high_feature,0108_2PP_Chicken-Mashed-Potatoes_98552_WEB_retina_feature,"5. Add the vinegar and remaining maple syrup to the pan of reserved fond (be careful, as the liquid may splatter). Cook on medium-high, stirring constantly and scraping up any fond, 30 seconds to 1 minute, or until thoroughly combined. Turn off the heat. Stir in the butter until thoroughly combined. Season with salt and pepper to taste."
152,26,0108_2PP_Chicken-Mashed-Potatoes_98546_WEB_high_feature,0108_2PP_Chicken-Mashed-Potatoes_98546_WEB_retina_feature,6. Slice the cooked chicken crosswise. Serve the sliced chicken with the mashed potatoes and glazed carrots. Top the chicken with the pan sauce. Enjoy!
153,27,1127_FPM_Steak-Fries_93957_WEB_high_feature,1127_FPM_Steak-Fries_93957_WEB_retina_feature,"1. Place an oven rack in the center of the oven, then preheat to 450°F. Wash and dry the fresh produce. Cut the potatoes lengthwise into 1/2-inch-thick sticks. Place on a sheet pan. Drizzle with olive oil and season with salt and pepper; toss to coat. Arrange in an even layer. Roast, flipping halfway through, 22 to 24 minutes, or until lightly browned and tender when pierced with a fork. Remove from the oven."
154,27,1127_FPM_Steak-Frites_18431_WEB_high_feature,1127_FPM_Steak-Frites_18431_WEB_retina_feature,"2. While the potatoes roast, peel and finely chop the garlic. Cut off and discard the root end of the lettuce; roughly chop the leaves. Thinly slice the chives."
155,27,1127_FPM_Steak-Frites_18434_WEB_high_feature,1127_FPM_Steak-Frites_18434_WEB_retina_feature,"3. While the potatoes continue to roast, in a bowl, combine the vinegar and 1/4 of the creamy mustard sauce. Slowly whisk in 2 teaspoons of olive oil until well combined. Season with salt and pepper to taste."
156,27,1127_FPM_Steak-Fries_93961_WEB_high_feature,1127_FPM_Steak-Fries_93961_WEB_retina_feature,"4. While the potatoes continue to roast, pat the steaks dry with paper towels. Season with salt and pepper on both sides. In a large pan, heat 1 tablespoon of olive oil on medium-high until hot. Add the seasoned steaks and cook 4 to 5 minutes on the first side, or until lightly browned. Flip and cook 2 to 3 minutes, or until lightly browned. Add the chopped garlic and butter. Cook, frequently spooning the butter over the steaks, 1 to 2 minutes for medium-rare, or until the steaks are browned and cooked to your desired degree of doneness. Transfer the cooked steaks to a cutting board. Let rest for at least 5 minutes. Transfer the garlic butter to a bowl."
157,27,1127_FPM_Steak-Frites_18438_WEB_high_feature,1127_FPM_Steak-Frites_18438_WEB_retina_feature,"5. While the steaks rest, place the chopped lettuce in a large bowl. Add enough of the vinaigrette to coat the lettuce (you may have extra vinaigrette). Toss to coat; season with salt and pepper to taste."
158,27,1127_FPM_Steak-Fries_93984_WEB_high_feature,1127_FPM_Steak-Fries_93984_WEB_retina_feature,6. Find the lines of muscle (or grain) on the rested steaks; thinly slice crosswise against the grain. Serve the sliced steaks with the roasted potatoes and salad. Drizzle the steaks and potatoes with the garlic butter. Garnish the salad with the sliced chives. Serve with the remaining creamy mustard sauce on the side. Enjoy!
159,28,1204_FPM_Hoisin-Burgers_94894_WEB_high_feature,1204_FPM_Hoisin-Burgers_94894_WEB_retina_feature,"1. Place an oven rack in the center of the oven, then preheat to 450°F. Wash and dry the sweet potatoes; cut lengthwise into 1-inch wedges. Place on a sheet pan. Drizzle with olive oil and season with salt and pepper; toss to coat. Arrange in an even layer, skin side down. Roast 22 to 24 minutes, or until browned and tender when pierced with a fork. Remove from the oven."
160,28,1204_FPM_Shiitake-Hoisin-Burger_18566_WEB_high_feature,1204_FPM_Shiitake-Hoisin-Burger_18566_WEB_retina_feature,"2. While the sweet potatoes roast, wash and dry the remaining fresh produce. In a bowl, combine the mushrooms and 1 cup of hot water; let stand for at least 10 minutes to rehydrate. Peel and finely chop the garlic; using the flat side of your knife, smash until it resembles a paste (or use a zester). Cut off and discard the root ends of the scallions; thinly slice, separating the white bottoms and green tops. Cut off and discard the root end of the bok choy; thinly slice. Place in a bowl. Drizzle with olive oil and season with salt and pepper; toss to coat. Halve the buns. In a bowl, combine the miso paste and mayonnaise; season with salt and pepper to taste."
161,28,1204_FPM_Shiitake-Hoisin-Burger_18542_WEB_high_feature,1204_FPM_Shiitake-Hoisin-Burger_18542_WEB_retina_feature,"3. While the sweet potatoes continue to roast, drain the rehydrated mushrooms. Transfer to a cutting board; finely chop. In a large bowl, combine the chopped mushrooms, ground beef, garlic paste, sliced white bottoms of the scallions, and hoisin sauce; season with salt and pepper. Gently mix to combine. Using your hands, form into four ½-inch-thick patties. Transfer to a plate."
162,28,1204_FPM_Shiitake-Hoisin-Burger_18547_WEB_high_feature,1204_FPM_Shiitake-Hoisin-Burger_18547_WEB_retina_feature,"4. While the sweet potatoes continue to roast, in a large pan (nonstick, if you have one), heat 2 teaspoons of olive oil on medium-high until hot. Add the patties and cook 3 to 4 minutes per side, or until browned and cooked to your desired degree of doneness. Leaving any browned bits (or fond) in the pan, transfer to a plate."
163,28,1204_FPM_Shiitake-Hoisin-Burger_18555_WEB_high_feature,1204_FPM_Shiitake-Hoisin-Burger_18555_WEB_retina_feature,"5. Working in batches if necessary, add the buns, cut side down, to the pan of reserved fond. (If the pan seems dry, add a drizzle of olive oil.) Toast on medium-high 30 seconds to 1 minute, or until lightly browned. Transfer to a work surface."
164,28,1204_FPM_Shiitake-Hoisin-Burger_18578_WEB_high_feature,1204_FPM_Shiitake-Hoisin-Burger_18578_WEB_retina_feature,"6. Divide the miso mayonnaise, cooked patties, and seasoned bok choy among the toasted buns. Serve the burgers with the roasted sweet potatoes. Garnish the sweet potatoes with the sliced green tops of the scallions. Enjoy!"
165,29,0101_2PF_Shrimp-Fra-Diavolo_3153_WEB_high_feature,0101_2PF_Shrimp-Fra-Diavolo_3153_WEB_retina_feature,1. Fill a medium pot with water; add a big pinch of salt and heat to boiling on high. Wash and dry the fresh produce. Cut out and discard the core of the cabbage; thinly slice the leaves. Peel and roughly chop the garlic.
166,29,0101_2PF_Shrimp-Fra-Diavolo_01550_WEB_high_feature,0101_2PF_Shrimp-Fra-Diavolo_01550_WEB_retina_feature,"2. Pat the shrimp dry with paper towels; season with salt and pepper. In a medium pan, heat a drizzle of olive oil on medium-high until hot. Add the seasoned shrimp; cook, stirring occasionally, 3 to 4 minutes, or until opaque and cooked through. Leaving any browned bits (or fond) in the pan, transfer to a plate. Set aside in a warm place."
167,29,0101_2PF_Shrimp-Fra-Diavolo_3260_WEB_high_feature,0101_2PF_Shrimp-Fra-Diavolo_3260_WEB_retina_feature,"3. Add the sliced cabbage to the pan of reserved fond; season with salt and pepper. (If the pan seems dry, add a drizzle of olive oil.) Cook on mediumhigh, stirring occasionally, 2 to 3 minutes, or until slightly softened. Add the verjus and 1/4 cup of water; season with salt and pepper. Cook, stirring occasionally and scraping up any fond, 3 to 5 minutes, or until the cabbage has softened and the water has cooked off. Transfer to the plate of cooked shrimp. Wipe out the pan."
168,29,0101_2PF_Shrimp-Fra-Diavolo_3256_WEB_high_feature,0101_2PF_Shrimp-Fra-Diavolo_3256_WEB_retina_feature,"4. While the cabbage cooks, add the pasta to the pot of boiling water. Cook, stirring occasionally, 9 to 11 minutes, or until al dente (still slightly firm to the bite). Reserving 1/2 cup of the pasta cooking water, drain thoroughly."
169,29,0101_2PF_Shrimp-Fra-Diavolo_3270_WEB_high_feature,0101_2PF_Shrimp-Fra-Diavolo_3270_WEB_retina_feature,"5. While the pasta cooks, in the same pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the chopped garlic; season with salt and pepper. Cook, stirring constantly, 30 seconds to 1 minute, or until softened and fragrant. Add the tomato sauce, 1/3 cup of water, and as much of the chile paste as you’d like, depending on how spicy you’d like the dish to be; season with salt and pepper. Cook, stirring occasionally, 4 to 5 minutes, or until thickened. Season with salt and pepper to taste."
170,29,0101_2PF_Shrimp-Fra-Diavolo_3282_WEB_high_feature,0101_2PF_Shrimp-Fra-Diavolo_3282_WEB_retina_feature,"6. Add the cooked pasta, cooked shrimp and cabbage, and half the reserved pasta cooking water to the pan. Cook, stirring vigorously, 1 to 2 minutes, or until coated. (If the sauce seems dry, gradually add the remaining pasta cooking water to achieve your desired consistency.) Turn off the heat; stir in the crème fraîche until thoroughly combined. Season with salt and pepper to taste. Top the finished pasta with the almonds and a drizzle of olive oil. Enjoy!"
171,30,0101_2PV2_Smoky-Kale-Mushroom-Flatberad_3151_WEB_high_feature,0101_2PV2_Smoky-Kale-Mushroom-Flatberad_3151_WEB_retina_feature,"1. Remove the dough and honey from the refrigerator to bring to room temperature. Place an oven rack in the center of the oven, then preheat to 475°F. Wash and dry the fresh produce. Thinly slice the mushrooms. Peel and roughly chop the garlic. Peel and thinly slice the onion. Remove and discard the stems of the kale; roughly chop the leaves. Grate both cheeses on the large side of a box grater (discarding any rind). Combine in a bowl."
172,30,0101_2PV2_Smoky-Kale-Mushroom-Flatberad_3181_WEB_high_feature,0101_2PV2_Smoky-Kale-Mushroom-Flatberad_3181_WEB_retina_feature,"2. In a large pan (nonstick, if you have one), heat a drizzle of olive oil on medium-high until hot. Add the sliced mushrooms in an even layer. Cook, without stirring, 2 to 3 minutes, or until lightly browned. Add the chopped garlic and sliced onion; season with salt and pepper. Cook, stirring occasionally, 2 to 3 minutes, or until lightly browned and fragrant."
173,30,0101_2PV2_Smoky-Kale-Mushroom-Flatberad_3189_WEB_high_feature,0101_2PV2_Smoky-Kale-Mushroom-Flatberad_3189_WEB_retina_feature,"3. Add the chopped kale to the pan; season with salt and pepper. Cook, stirring frequently, 1 to 2 minutes, or until slightly wilted. Add 1/4 cup of water; season with salt and pepper. Cook, stirring occasionally, 3 to 4 minutes, or until the kale has wilted and the water has cooked off. Turn off the heat. Season with salt and pepper to taste."
174,30,0101_2PV2_Smoky-Kale-Mushroom-Flatberad_3207_WEB_high_feature,0101_2PV2_Smoky-Kale-Mushroom-Flatberad_3207_WEB_retina_feature,"4. Lightly oil a sheet pan. On a work surface, using your hands and a rolling pin (or a wine bottle), gently stretch and roll the dough to a 1/8-inch thickness. (If the dough is resistant, let rest for 5 minutes.) Carefully transfer the dough to the sheet pan; rub the dough into the pan to coat the bottom in oil. Leaving a 1-inch border around the edges, evenly top the prepared dough with the finished vegetables, grated cheeses, and a drizzle of olive oil. Season with salt and pepper. Bake, rotating the sheet pan halfway through, 14 to 16 minutes, or until the crust has browned and the cheese has melted. Remove from the oven and let stand for at least 2 minutes."
175,30,0101_2PV2_Smoky-Kale-Mushroom-Flatberad_3219_WEB_high_feature,0101_2PV2_Smoky-Kale-Mushroom-Flatberad_3219_WEB_retina_feature,"5. While the flatbread bakes, cut off and discard the root end of the endive; roughly chop the leaves. Core, quarter, and thinly slice the apple. To make the dressing, in a large bowl, whisk together the vinegar, honey (kneading the packet before opening), and 1 tablespoon of olive oil until thoroughly combined. Season with salt and pepper to taste."
176,30,0101_2PV2_Smoky-Kale-Mushroom-Flatberad_3233_WEB_high_feature,0101_2PV2_Smoky-Kale-Mushroom-Flatberad_3233_WEB_retina_feature,"6. Just before serving, add the chopped endive and sliced apple to the bowl of dressing. Toss to combine; season with salt and pepper to taste. Serve the baked flatbread with the salad on the side. Enjoy!"
177,31,1127_2PP_Spicy-Chicken-Quesadillas_94039_WEB_high_feature,1127_2PP_Spicy-Chicken-Quesadillas_94039_WEB_retina_feature,"1. Heat a small pot of salted water to boiling on high. Wash and dry the fresh produce. Peel the beet and cut lengthwise into 1/4-inch wedges. Once the pot of water is boiling, add the beet wedges and cook, uncovered, 22 to 24 minutes, or until tender when pierced with a fork. Drain and rinse under cold water for 30 seconds to 1 minute to stop the cooking process. Pat dry with paper towels and transfer to a large bowl."
178,31,1127_2PP_Spicy-Chicken-Quesadillas_93434_WEB_high_feature,1127_2PP_Spicy-Chicken-Quesadillas_93434_WEB_retina_feature,"2. While the beet cooks, cut off and discard the root ends of the scallions; thinly slice, separating the white bottoms and green tops. Using a peeler, remove the green rind of the lime, avoiding the white pith; mince to get 2 teaspoons of zest (or use a zester). Quarter the lime. Grate the cheese on the large side of a box grater. Peel the orange; halve lengthwise, then thinly slice crosswise. To make the lime crema, in a bowl, combine the crema and the juice of 2 lime wedges; season with salt and pepper to taste. Cut out and discard the stem, ribs, and seeds of the pepper; finely chop. Thoroughly wash your hands, knife, and cutting board immediately after handling the pepper."
179,31,1127_2PP_Spicy-Chicken-Quesadillas_93442_WEB_high_feature,1127_2PP_Spicy-Chicken-Quesadillas_93442_WEB_retina_feature,"3. While the beet continues to cook, pat the chicken dry with paper towels; season on both sides with salt, pepper, and the spice blend. In a large pan (nonstick, if you have one), heat 2 teaspoons of olive oil on medium-high until hot. Add the seasoned chicken; cook 3 to 4 minutes per side, or until browned and cooked through. Transfer to a cutting board; when cool enough to handle, roughly chop. Transfer to a medium bowl. Rinse and wipe out the pan."
180,31,1127_2PP_Spicy-Chicken-Quesadillas_93449_WEB_high_feature,1127_2PP_Spicy-Chicken-Quesadillas_93449_WEB_retina_feature,"4. To the bowl of chopped chicken, add the sliced white bottoms of the scallions, lime zest, the juice of 1 lime wedge, a drizzle of olive oil, and as much of the chopped pepper as you’d like, depending on how spicy you’d like the dish to be. Stir to combine; season with salt and pepper to taste. Place the tortillas on a work surface. Sprinkle the grated cheese onto 1 side of each tortilla. Evenly top with the filling. Fold each tortilla in half over the filling."
181,31,1127_2PP_Spicy-Chicken-Quesadillas_93455_WEB_high_feature,1127_2PP_Spicy-Chicken-Quesadillas_93455_WEB_retina_feature,"5. In the same pan, heat 2 teaspoons of olive oil on medium until hot. Add the quesadillas; cook 2 to 3 minutes per side, or until the tortillas are browned and the cheese has melted. (If the pan seems dry, add a drizzle of olive oil before flipping.) Transfer to a cutting board; immediately season with salt and pepper."
182,31,1127_2PP_Spicy-Chicken-Quesadillas_94045_WEB_high_feature,1127_2PP_Spicy-Chicken-Quesadillas_94045_WEB_retina_feature,"6. While the quesadillas cook, add the sliced orange, peanuts, the juice of the remaining lime wedge, and a drizzle of olive oil to the bowl of cooked beet. Stir to combine; season with salt and pepper to taste. Cut the cooked quesadillas in half. Garnish the quesadillas and salad with the sliced green tops of the scallions. Serve with the lime crema on the side. Enjoy!"
183,32,1225_FPM_Rice-Cakes_18459_WEB_high_feature,1225_FPM_Rice-Cakes_18459_WEB_retina_feature,"1. Heat a large pot of salted water to boiling on high. Wash and dry the fresh produce. Peel and finely chop the ginger. Peel and roughly chop the garlic. Cut off and discard the root end of the bok choy; roughly chop the leaves and stems, keeping them separate. Thinly slice the chives."
184,32,1225_FPM_Pork-Rice-Cakes_18446_WEB_high_feature,1225_FPM_Pork-Rice-Cakes_18446_WEB_retina_feature,"2. In a large pan, heat 2 teaspoons of olive oil on medium until hot. Add the ground pork (removing and discarding the paper lining from the bottom); season with salt and pepper. Cook, frequently breaking the meat apart with a spoon, 4 to 6 minutes, or until lightly browned."
185,32,1225_FPM_Pork-Rice-Cakes_18453_WEB_high_feature,1225_FPM_Pork-Rice-Cakes_18453_WEB_retina_feature,"3. Add the chopped ginger and garlic to the pan; season with salt and pepper. Cook, stirring occasionally, 2 to 3 minutes, or until softened and the pork is cooked through."
186,32,1225_FPM_Pork-Rice-Cakes_00096_WEB_high_feature,1225_FPM_Pork-Rice-Cakes_00096_WEB_retina_feature,"4. To the pan, add the chopped bok choy stems, soy glaze, black bean sauce, ½ cup of water, and as much of the gochujang as you’d like, depending on how spicy you’d like the dish to be. Cook, stirring occasionally, 3 to 4 minutes, or until the bok choy stems have softened and the liquid has thickened. Turn off the heat. Season with salt and pepper to taste."
187,32,1225_FPM_Pork-Rice-Cakes_00082_WEB_high_feature,1225_FPM_Pork-Rice-Cakes_00082_WEB_retina_feature,"5. While the sauce cooks, add the rice cakes to the pot of boiling water and cook 2 to 3 minutes, or until tender. Drain thoroughly."
188,32,1225_FPM_Pork-Rice-Cakes_00096_WEB_high_feature,1225_FPM_Pork-Rice-Cakes_00096_WEB_retina_feature,"6. Add the cooked rice cakes and chopped bok choy leaves to the pan of cooked pork and sauce; season with salt and pepper. Cook on mediumhigh, stirring frequently, 1 to 2 minutes, or until the rice cakes are thoroughly coated and the bok choy leaves are slightly wilted. Turn off the heat; stir in the crème fraîche and half the sliced chives. Season with salt and pepper to taste. Garnish the finished pork and rice cakes with the remaining sliced chives. Enjoy!"
